   Time [MJD]         Obs. Residuals [mm]
57268.4876041667          -6.200
57268.4878703704          -2.100
57268.4882175926           3.100
57268.4885300926           2.600
57268.4888888889          -2.000
57268.4893402778           1.200
57268.4896064815          -2.400
57268.4899189815           2.600
57268.4902199074          -1.900
57268.4915046296           2.700
57268.4918287037          -7.400
57268.4920601852           1.800
57268.4922569444           3.100
57268.4927314815          -5.900
57268.4930439815          -6.500
57268.4932638889         -10.000
57268.4938773148          -3.600
57268.4940856481          -3.000
57269.4462152778           0.500
57269.4464930556           3.000
57269.4468865741           3.900
57269.4471990741           7.900
57269.4476620370           7.800
57269.4479513889           6.300
57269.4483333333           7.200
57269.4485995370           2.000
57269.4489351852           5.600
57269.4497106482           1.200
57269.4498842593          11.200
57269.4504282407           2.200
57269.4506134259          -5.400
57269.5267939815          13.400
57269.5270833333          16.500
57269.5275115741          -0.600
57269.5277777778          -1.700
57269.5281481481           0.500
57269.5285879630          -2.500
57269.5288078704          -1.900
57269.5291550926          -6.200
57266.5581250000          38.600
57266.5583449074          38.500
57266.5587037037          41.900
57266.5590509259          34.600
57266.5593171296          38.500
57266.6385416667          22.000
57266.6388541667          16.200
57266.6391087963          24.900
57266.6396527778          25.900
57266.6396643519          34.400
57266.6398842593          32.000
57266.6403935185          18.700
57266.6406597222          10.100
57266.6410532407           4.200
57266.6411921296           4.700
57267.5983101852          17.000
57267.5986342593          17.600
57267.5989814815          17.000
57267.5993287037          19.800
57267.5996643519          33.700
57267.6786574074           5.100
57267.6787500000          39.700
57267.6796412037          85.900
57267.6799652778          45.200
57267.6802777778           4.500
57267.6805902778         -17.000
57267.6809143519         -10.500
57267.6812500000          -7.300
57267.6816782407          -2.800
57267.6819907407          -6.400
57267.6823379630          -1.700
57267.6826620370           4.800
57267.6830208333          -1.100
57267.6833564815          10.400
57267.6837037037           9.400
57267.6840162037          11.400
57267.6843402778          18.100
57268.3000462963          -6.900
57268.3002083333          -1.900
57268.4695254630         -35.900
57268.4697800926         -32.200
57268.4701388889         -19.700
57268.4703356481         -39.400
57268.5508680556         -25.000
57268.5510185185         -15.600
57268.5513541667          -6.800
57268.5517361111         -20.000
57268.5521064815         -18.000
57268.5524537037         -16.200
57268.5527893519          -8.500
57268.5531134259         -17.200
57268.5534375000          -8.400
57268.6343981481         -30.300
57268.6347800926         -22.800
57268.6350925926         -31.000
57268.6353472222         -37.400
57268.6357291667         -46.300
57268.6362152778         -41.200
57268.6365393518         -35.800
57268.6368287037         -38.200
57268.6370833333         -31.800
57268.7185185185           0.100
57268.7187847222          -2.200
57268.7190972222           0.800
57268.7194675926           6.900
57268.7198495370           3.500
57268.7201157407          10.700
57269.2542013889         140.700
57269.2550231482          46.600
57269.2551157407          28.200
57269.2560069444          30.600
57269.2566898148          80.400
57269.2569560185          72.200
57269.2573032407          72.200
57269.2575462963          71.700
57269.5883796296         -14.900
57269.5885648148         -17.500
57269.5887731481         -18.200
57269.6688888889           4.400
57269.6691435185           6.600
57269.6694907407           3.500
57269.6698032407          -5.100
57269.6701388889          -9.200
57269.6704861111         -18.700
57269.6707870370          -2.900
57270.2073958333         -16.700
57270.2076273148         -16.000
57270.2079861111          16.700
57270.2087152778          -4.200
57270.2089004630          -1.900
57270.2923958333         -40.400
57270.2927430556         -36.600
57270.2930902778         -38.100
57270.2934027778         -25.300
57270.2937500000          -3.000
57270.2941550926          -5.400
57270.2945254630         -16.000
57270.2947685185          -8.400
57270.3754398148         -45.800
57270.3757638889         -22.300
57270.3760879630         -21.400
57270.3762500000         -17.700
57270.4615972222         -18.600
57270.4618171296         -11.600
57270.5424421296           8.400
57270.5427314815         -12.600
57270.5430787037          -3.800
57270.5434375000          -0.100
57270.5437500000          -1.400
57270.5440393519          -9.700
57270.6257407407          19.900
57270.6260532407           0.000
57270.6264236111          -5.400
57270.6267824074          -3.400
57270.6270601852         -23.500
57270.7069791667           2.300
57270.7073148148          -3.100
57270.7076620370           7.500
57270.7079861111          -9.400
57270.7083333333           5.900
57270.7087268519          -4.400
57270.7090393519         -14.300
57270.7094097222           0.400
57270.7097106481         -18.300
57270.7100000000         -13.200
57266.7732754630          21.500
57266.7737268519         -67.600
57266.7739814815          44.700
57266.9744791667          -4.200
57266.9747106482          -7.800
57266.9750115741          -6.100
57266.9754050926          -3.400
57266.9757060185          -9.100
57266.9760763889          -8.000
57266.9763773148         -11.800
57266.9766898148         -15.100
57266.9771064815          -9.500
57266.9774884259         -19.000
57266.9777546296          -2.900
57266.9782523148          -8.700
57266.9784837963         -14.300
57266.9788310185          -8.800
57266.9791319444          -3.000
57266.9795370370         -17.800
57266.9799074074         -15.500
57266.9802314815         -14.000
57266.9805671296         -13.200
57266.9809259259          -7.600
57266.9812847222         -12.500
57266.9815277778         -13.400
57267.0602199074          26.300
57267.0604513889          25.200
57267.0607870370          21.800
57267.0611226852          19.100
57267.0614930556          12.800
57267.0618634259           4.700
57267.0621759259           5.500
57267.0624884259           6.500
57267.0628356482          11.100
57267.0632291667          -5.000
57267.4824537037         -55.300
57267.4826273148         -29.800
57267.4830324074         -37.800
57267.4833333333         -28.900
57267.4837268519         -31.400
57267.4839583333         -25.300
57267.4844444444         -18.200
57267.4847916667         -23.200
57267.4851041667         -19.000
57267.4853240741         -12.300
57268.0108564815          17.000
57268.0111226852          20.700
57268.0115162037           9.500
57268.0118402778          10.400
57268.0121759259          12.500
57268.0125347222          11.500
57268.0128587963           7.500
57268.0132060185           8.800
57268.0136111111           3.500
57268.0139004630          -1.800
57268.0141435185           4.900
57268.0146180556           7.500
57268.0150810185           3.800
57268.0152199074           2.200
57268.0159027778         -24.300
57268.0162615741         -22.900
57268.0171064815           0.100
57268.0173148148           0.700
57268.0178240741          21.600
57268.0180439815          13.700
57268.0183101852         -13.800
57266.0004398148           4.500
57266.0007291667           5.200
57266.0010532407           6.200
57266.0014583333          10.300
57266.0017708333          17.300
57266.0020949074          20.200
57266.0024537037          11.200
57266.0028240741           6.600
57266.0032407407           1.600
57266.0034606481           2.000
57266.0038310185           2.400
57266.0041782407          -4.100
57266.0045370370          -5.100
57266.0048726852          -9.500
57266.0052199074          -9.400
57266.0055439815          -8.700
57266.0059606482         -11.800
57266.0062962963         -11.300
57266.0066203704          -8.300
57266.0069444444         -13.000
57266.0073148148          -8.300
57266.0076851852          -7.500
57266.0080092593          -9.800
57266.0083449074          -8.500
57266.0087152778         -10.000
57266.0090509259          -2.300
57266.0094212963          -6.500
57266.0096990741          -5.200
57266.0099652778          -5.500
57267.9118171296          -3.100
57267.9122222222           2.900
57267.9125231482           3.500
57267.9128819444           0.900
57267.9131481482          -3.700
57267.9174305556         -12.800
57267.9177314815         -12.100
57267.9180902778          -6.500
57267.9184259259         -12.300
57267.9187847222         -11.500
57267.9191319444         -14.700
57267.9194444444         -10.000
57267.9941898148           1.800
57267.9966087963          -1.000
57267.9969328704           1.200
57267.9972453704           0.700
57267.9975810185          -3.600
57267.9979629630          -7.800
57267.9982754630          -8.600
57267.9985532407          -5.900
57268.0014814815          -1.800
57268.0025578704           1.100
57268.0027893519           0.400
57268.6372453704          13.400
57268.6375115741          10.000
57268.6377546296          12.600
57268.7181481481           9.200
57268.7183680556           4.200
57268.7187731481           3.500
57268.7192013889          -7.300
57268.7194212963          -4.200
57268.7198148148          -4.300
57268.7201504630         -12.100
57268.7204513889          -5.900
57270.6285763889          22.200
57270.6289004630          32.100
57270.6291898148          16.200
57270.6295717593          14.100
57270.6298726852          10.300
57270.6301967593          16.800
57270.6304513889          15.600
57266.0441203704          14.000
57266.0473495370         -12.100
57266.1272453704          -8.000
57266.1274305556         -10.000
57266.1281134259         -17.200
57266.6587500000          22.100
57266.6591898148          10.600
57266.6593865741          13.100
57266.6597916667          12.400
57266.6601273148           4.400
57266.6604282407           1.800
57266.6607986111           3.300
57266.6611805556          -2.100
57266.6613773148          -2.700
57266.6618055556          -8.100
57266.6622337963           0.700
57266.7438541667           6.200
57266.7445601852           8.800
57266.7447222222           2.100
57267.0812847222          18.500
57268.6518402778           2.600
57268.6521296296          -2.300
57268.6524537037           1.100
57268.6528356482           1.800
57268.6531712963           6.600
57268.6534375000           3.700
57268.6538425926           0.400
57268.6541203704          -1.300
57268.6545254630           6.000
57268.6548842593           5.200
57268.6551967593           4.000
57268.6556134259           8.500
57268.6558333333           1.800
57268.6561921296           2.500
57268.7329861111          -1.200
57268.7333912037          -4.000
57268.7350347222          -0.600
57269.0740162037          34.700
57269.0760648148           0.600
57269.0764814815          -1.800
57269.0767245370          -6.600
57269.0771180556          -6.700
57269.0773842593         -20.700
57269.0778125000         -25.400
57269.0780671296         -27.500
57269.6885995370           9.700
57269.6888657407           6.500
57269.6892708333           3.900
57269.6896296296           1.600
57269.6899652778          -0.500
57269.6902662037           1.200
57269.6907060185          -0.900
57269.6909259259          -0.800
57270.1104976852          17.700
57270.1111458333           1.900
57270.1119097222          -2.700
57270.1121527778           1.100
57270.1128587963          -0.400
57266.5435763889          -9.300
57266.5437615741          -8.600
57266.5440740741         -10.700
57266.5444560185         -22.300
57266.5447337963         -20.200
57266.5476736111         -14.400
57266.5479282407         -14.900
57266.5482407407         -14.700
57266.5486342593         -14.800
57266.5489467593         -14.900
57266.5497222222         -11.800
57266.5499074074         -12.900
57266.6257754630           2.500
57266.6260763889           2.600
57266.6263773148          -1.500
57266.6268981481          -4.300
57266.6271064815          -5.800
57266.6274421296          -6.300
57266.6278125000          -5.900
57266.6281365741          -3.400
57266.6284259259          -0.400
57266.6292939815           4.400
57266.6295949074           4.700
57266.6298379630          -2.900
57266.6302083333          -3.800
57266.6305439815           1.400
57266.7088078704          21.800
57266.7089583333          17.400
57266.7094675926          17.700
57266.7097337963          16.400
57266.7101157407          14.200
57266.7104398148          11.900
57266.7107407407          12.800
57266.7110763889          13.000
57266.7115046296          11.100
57266.7118171296           7.000
57266.7121759259           5.000
57266.7125347222           5.300
57266.7128356481           4.400
57266.7132407407           2.300
57266.7135416667           2.800
57266.8746875000           6.400
57266.8750231481           4.200
57266.8754282407           4.100
57266.8756944444           4.100
57266.8760532407           8.700
57266.8764351852          12.400
57266.8767939815           6.200
57266.8771064815           2.400
57266.8774768518           6.200
57266.8778009259           5.200
57266.8781134259           6.500
57266.8784953704           7.200
57266.8787500000           7.500
57266.8791898148           6.800
57266.8795138889          10.200
57266.8799074074           8.900
57266.8802083333          10.000
57266.8805555556          12.200
57266.8809722222          13.500
57266.8812731481          12.700
57266.8816087963          16.200
57266.8819212963          23.800
57266.8824074074          17.500
57266.8827083333          17.100
57266.8830902778          18.000
57266.8833101852          16.200
57266.8835995370          19.000
57266.9559722222         -13.500
57266.9563078704         -11.400
57266.9566435185          -8.000
57266.9569328704          -6.300
57266.9572916667          -6.800
57266.9577083333          -4.700
57266.9580092593          -8.200
57266.9582986111          -3.800
57266.9586805556           3.100
57266.9590625000           9.300
57266.9594097222           8.000
57266.9597222222           8.400
57266.9600578704           3.400
57266.9604166667          -2.600
57266.9608333333          -3.700
57266.9610416667          -5.700
57266.9613541667          -6.600
57266.9618171296          -7.600
57266.9622453704          -7.600
57266.9625115741          -6.000
57266.9628356481          -0.900
57266.9631597222           1.000
57266.9635995370          15.300
57266.9640046296          12.400
57266.9642592593           4.200
57266.9646064815           5.700
57266.9649537037           6.200
57266.9652777778          10.900
57266.9656481482          10.900
57266.9659606482          14.600
57266.9663194444          17.500
57266.9665740741          17.200
57267.9116087963          -0.700
57267.9118865741          -2.900
57267.9121759259          -1.100
57267.9124768519          -5.500
57267.9128703704          -5.400
57267.9132060185          -3.400
57267.9134375000          -5.600
57267.9164583333         -11.900
57267.9166666667         -13.500
57267.9170370370         -14.100
57267.9173263889         -14.200
57267.9176041667          -6.600
57267.9935648148           8.100
57267.9937500000          13.100
57267.9940972222           7.300
57267.9945601852           6.500
57267.9948842593           3.300
57267.9952083333           3.200
57267.9955324074           2.000
57267.9958680556          -0.400
57267.9962268519          -4.900
57267.9965277778          -7.800
57267.9968981482          -8.400
57267.9971990741          -8.500
57267.9976388889          -9.900
57267.9979629630         -10.500
57267.9982754630          -6.400
57267.9986342593         -10.300
57267.9989814815         -10.600
57267.9993402778          -7.200
57267.9997106481         -10.200
57268.0000347222          -9.500
